1,badlands,minecraft:badlands,AMBIENT,alexsmobs:fly,5,1,1
2,badlands,minecraft:badlands,AMBIENT,minecraft:bat,10,8,8
3,badlands,minecraft:badlands,AMBIENT,more_critters:bunbug,10,2,5
4,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:admiral,60,1,4
5,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:admiral_caterpillar,60,1,4
6,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:admiral_chrysalis,60,1,4
7,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:admiral_egg,60,1,4
8,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoon,40,1,4
9,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoon_caterpillar,40,1,4
10,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoon_chrysalis,40,1,4
11,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoon_egg,40,1,4
12,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoonmale,40,1,4
13,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoonmale_caterpillar,40,1,4
14,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoonmale_chrysalis,40,1,4
15,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:bluemoonmale_egg,40,1,4
16,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:christmas,60,1,4
17,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:christmas_caterpillar,60,1,4
18,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:christmas_chrysalis,60,1,4
19,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:christmas_egg,60,1,4
20,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:clipperorange,20,1,4
21,badlands,minecraft:badlands,BUTTERFLY_SPAWNS,butterflies:clipperorange_caterpillar,20,1,4
